Fun_x_in_m	Fun_Bx_average_in_mT	Fun_By_average_in_mT	Fun_Bz_average_in_mT
-5.000000000000e-07	 4.481542257256e+01	2.457240510164e+01	-8.036443282953e+00
-4.980000000000e-07	 4.577568029876e+01	2.564741394032e+01	-8.378820484143e+00
-4.960000000000e-07	 4.675464987266e+01	2.678065359247e+01	-8.739313574779e+00
-4.940000000000e-07	 4.775140774953e+01	2.797562970094e+01	-9.118983186181e+00
-4.920000000000e-07	 4.876485702519e+01	2.923616181557e+01	-9.518984861511e+00
-4.900000000000e-07	 4.979360025844e+01	3.056630200069e+01	-9.940542921834e+00
-4.880000000000e-07	 5.083579619510e+01	3.197021738059e+01	-1.038491317892e+01
-4.860000000000e-07	 5.188930241071e+01	3.345246068365e+01	-1.085346858163e+01
-4.840000000000e-07	 5.295136477679e+01	3.501764580897e+01	-1.134759649683e+01
-4.820000000000e-07	 5.401873963965e+01	3.667072452911e+01	-1.186878635358e+01
-4.800000000000e-07	 5.508750326350e+01	3.841684867422e+01	-1.241858592363e+01
-4.780000000000e-07	 5.615284189100e+01	4.026117168923e+01	-1.299853901302e+01
-4.760000000000e-07	 5.720911152248e+01	4.220911593577e+01	-1.361026950133e+01
-4.740000000000e-07	 5.824951317455e+01	4.426600749705e+01	-1.425536613302e+01
-4.720000000000e-07	 5.926597587020e+01	4.643704566467e+01	-1.493537242768e+01
-4.700000000000e-07	 6.024899802587e+01	4.872722245039e+01	-1.565176027668e+01
-4.680000000000e-07	 6.118734501758e+01	5.114088501761e+01	-1.640579138223e+01
-4.660000000000e-07	 6.206788903328e+01	5.368150707037e+01	-1.719844414212e+01
-4.640000000000e-07	 6.287538175675e+01	5.635113940581e+01	-1.803024101854e+01
-4.620000000000e-07	 6.359236155970e+01	5.914991533177e+01	-1.890109581875e+01
-4.600000000000e-07	 6.419909519381e+01	6.207496920676e+01	-1.980998472707e+01
-4.580000000000e-07	 6.467390207068e+01	6.511950903497e+01	-2.075467800770e+01
-4.560000000000e-07	 6.499390823540e+01	6.827148329779e+01	-2.173136506013e+01
-4.540000000000e-07	 6.513656660104e+01	7.151254724887e+01	-2.273439423319e+01
-4.520000000000e-07	 6.508205747826e+01	7.481710581472e+01	-2.375604345476e+01
-4.500000000000e-07	 6.481644299231e+01	7.815309297061e+01	-2.478679203673e+01
-4.480000000000e-07	 6.433454490898e+01	8.148437278138e+01	-2.581600498029e+01
-4.460000000000e-07	 6.364111625661e+01	8.477494227823e+01	-2.683308826971e+01
-4.440000000000e-07	 6.274968132166e+01	8.799265995914e+01	-2.782849761176e+01
-4.420000000000e-07	 6.167963239581e+01	9.111192802498e+01	-2.879450966401e+01
-4.400000000000e-07	 6.045312286217e+01	9.411420454213e+01	-2.972541105121e+01
-4.380000000000e-07	 5.909256503174e+01	9.698748409623e+01	-3.061740468327e+01
-4.360000000000e-07	 5.761922877345e+01	9.972482687064e+01	-3.146821406561e+01
-4.340000000000e-07	 5.605243227821e+01	1.023232442092e+02	-3.227677615584e+01
-4.320000000000e-07	 5.440918324402e+01	1.047827230607e+02	-3.304295807793e+01
-4.300000000000e-07	 5.270430615761e+01	1.071051500803e+02	-3.376722997951e+01
-4.280000000000e-07	 5.095049211493e+01	1.092938125900e+02	-3.445051086735e+01
-4.260000000000e-07	 4.915854410015e+01	1.113528510502e+02	-3.509399661560e+01
-4.240000000000e-07	 4.733749544965e+01	1.132870232263e+02	-3.569908450903e+01
-4.220000000000e-07	 4.549497805639e+01	1.151012753526e+02	-3.626723754493e+01
-4.200000000000e-07	 4.363731889058e+01	1.168006799767e+02	-3.679996373451e+01
-4.180000000000e-07	 4.176977311231e+01	1.183902567366e+02	-3.729875926328e+01
-4.160000000000e-07	 3.989657387527e+01	1.198749726116e+02	-3.776510823074e+01
-4.140000000000e-07	 3.802122862143e+01	1.212595465360e+02	-3.820042120516e+01
-4.120000000000e-07	 3.614653262199e+01	1.225485020420e+02	-3.860605172586e+01
-4.100000000000e-07	 3.427472090838e+01	1.237461027812e+02	-3.898327607065e+01
-4.080000000000e-07	 3.240745035290e+01	1.248564055580e+02	-3.933331001587e+01
-4.060000000000e-07	 3.054603249302e+01	1.258831519123e+02	-3.965727469190e+01
-4.040000000000e-07	 2.869138703351e+01	1.268298369033e+02	-3.995621819944e+01
-4.020000000000e-07	 2.684415707100e+01	1.276996789642e+02	-4.023110602388e+01
-4.000000000000e-07	 2.500463836139e+01	1.284956778588e+02	-4.048283921500e+01
-3.980000000000e-07	 2.317298242102e+01	1.292205433337e+02	-4.071223167408e+01
-3.960000000000e-07	 2.134912502152e+01	1.298767536370e+02	-4.092002846156e+01
-3.940000000000e-07	 1.953286449678e+01	1.304665417691e+02	-4.110690123279e+01
-3.920000000000e-07	 1.772378503238e+01	1.309919355334e+02	-4.127346072068e+01
-3.900000000000e-07	 1.592143290795e+01	1.314547143335e+02	-4.142024283231e+01
-3.880000000000e-07	 1.412523078609e+01	1.318564498695e+02	-4.154772133007e+01
-3.860000000000e-07	 1.233454443619e+01	1.321984998343e+02	-4.165630564985e+01
-3.840000000000e-07	 1.054859841532e+01	1.324820306700e+02	-4.174634794145e+01
-3.820000000000e-07	 8.766638229421e+00	1.327079938675e+02	-4.181813538762e+01
-3.800000000000e-07	 6.987867600618e+00	1.328771481753e+02	-4.187189712539e+01
-3.780000000000e-07	 5.211381751975e+00	1.329900661523e+02	-4.190780621580e+01
-3.760000000000e-07	 3.436328650591e+00	1.330471221625e+02	-4.192597574503e+01
-3.740000000000e-07	 1.661819274137e+00	1.330485045820e+02	-4.192646265456e+01
-3.720000000000e-07	-1.130160256087e-01	1.329942147177e+02	-4.190926735952e+01
-3.700000000000e-07	-1.889117809362e+00	1.328840630966e+02	-4.187433257927e+01
-3.680000000000e-07	-3.667336831457e+00	1.327176733101e+02	-4.182154458267e+01
-3.660000000000e-07	-5.448528016726e+00	1.324944778992e+02	-4.175073193210e+01
-3.640000000000e-07	-7.233487371836e+00	1.322137210109e+02	-4.166166641730e+01
-3.620000000000e-07	-9.023044940363e+00	1.318744382287e+02	-4.155405675760e+01
-3.600000000000e-07	-1.081790198802e+01	1.314754763327e+02	-4.142755500357e+01
-3.580000000000e-07	-1.261871452242e+01	1.310154744169e+02	-4.128175070915e+01
-3.560000000000e-07	-1.442603544795e+01	1.304928685765e+02	-4.111617258194e+01
-3.540000000000e-07	-1.624039601521e+01	1.299058561634e+02	-4.093027735824e+01
-3.520000000000e-07	-1.806213394239e+01	1.292524335406e+02	-4.072346197092e+01
-3.500000000000e-07	-1.989147667822e+01	1.285303600312e+02	-4.049505233248e+01
-3.480000000000e-07	-2.172846207093e+01	1.277371696978e+02	-4.024430728394e+01
-3.460000000000e-07	-2.357301636519e+01	1.268701177189e+02	-3.997040184238e+01
-3.440000000000e-07	-2.542476207802e+01	1.259262418491e+02	-3.967244682060e+01
-3.420000000000e-07	-2.728308830235e+01	1.249023090028e+02	-3.934947211336e+01
-3.400000000000e-07	-2.914704507553e+01	1.237948423356e+02	-3.900043536117e+01
-3.380000000000e-07	-3.101540045532e+01	1.226000516605e+02	-3.862420011520e+01
-3.360000000000e-07	-3.288641701597e+01	1.213139297683e+02	-3.821956623526e+01
-3.340000000000e-07	-3.475788610797e+01	1.199321968696e+02	-3.778525235968e+01
-3.320000000000e-07	-3.662698543412e+01	1.184503517598e+02	-3.731991196961e+01
-3.300000000000e-07	-3.849028620473e+01	1.168636104419e+02	-3.682211407863e+01
-3.280000000000e-07	-4.034347567019e+01	1.151670717226e+02	-3.629039524390e+01
-3.260000000000e-07	-4.218129852000e+01	1.133557212395e+02	-3.572326092122e+01
-3.240000000000e-07	-4.399747888300e+01	1.114244353709e+02	-3.511918711207e+01
-3.220000000000e-07	-4.578438437380e+01	1.093682630002e+02	-3.447670932388e+01
-3.200000000000e-07	-4.753292907941e+01	1.071825053442e+02	-3.379444871744e+01
-3.180000000000e-07	-4.923231151270e+01	1.048630278033e+02	-3.307121121943e+01
-3.160000000000e-07	-5.086988894729e+01	1.024064776394e+02	-3.230605743529e+01
-3.140000000000e-07	-5.243083217535e+01	9.981096272143e+01	-3.149851555527e+01
-3.120000000000e-07	-5.389808895570e+01	9.707657025508e+01	-3.064874153665e+01
-3.100000000000e-07	-5.525234455911e+01	9.420629524334e+01	-2.975780036440e+01
-3.080000000000e-07	-5.647238298529e+01	9.120695266801e+01	-2.882792981292e+01
-3.060000000000e-07	-5.753573658702e+01	8.809067356418e+01	-2.786296595163e+01
-3.040000000000e-07	-5.842026902301e+01	8.487595869193e+01	-2.686860939712e+01
-3.020000000000e-07	-5.910657898344e+01	8.158845324472e+01	-2.585259813896e+01
-3.000000000000e-07	-5.958116661264e+01	7.826015789787e+01	-2.482443297113e+01
-2.980000000000e-07	-5.983925216613e+01	7.492721752083e+01	-2.379475176821e+01
-2.960000000000e-07	-5.988602184079e+01	7.162572121286e+01	-2.277417506073e+01
-2.940000000000e-07	-5.973541576702e+01	6.838778103737e+01	-2.177223780777e+01
-2.920000000000e-07	-5.940724192835e+01	6.523885615195e+01	-2.079662000533e+01
-2.900000000000e-07	-5.892405723680e+01	6.219742806938e+01	-1.985301566127e+01
-2.880000000000e-07	-5.830873059405e+01	5.927550347146e+01	-1.894522150897e+01
-2.860000000000e-07	-5.758295222507e+01	5.647991350374e+01	-1.807547947656e+01
-2.840000000000e-07	-5.676642313983e+01	5.381340784542e+01	-1.724477728796e+01
-2.820000000000e-07	-5.587663434413e+01	5.127597030974e+01	-1.645323761556e+01
-2.800000000000e-07	-5.492882317705e+01	4.886551157061e+01	-1.570032600413e+01
-2.780000000000e-07	-5.393613029767e+01	4.657859021763e+01	-1.498507417790e+01
-2.760000000000e-07	-5.290974566965e+01	4.441076459068e+01	-1.430619086676e+01
-2.740000000000e-07	-5.185921320653e+01	4.235713810839e+01	-1.366223405538e+01
-2.720000000000e-07	-5.079258759324e+01	4.041248048730e+01	-1.305165053925e+01
-2.700000000000e-07	-4.971666713892e+01	3.857146598597e+01	-1.247285168402e+01
-2.680000000000e-07	-4.863710919820e+01	3.682869702286e+01	-1.192422143056e+01
-2.660000000000e-07	-4.755867981096e+01	3.517894833569e+01	-1.140419335531e+01
-2.640000000000e-07	-4.648533313054e+01	3.361711927714e+01	-1.091123580025e+01
-2.620000000000e-07	-4.542035529908e+01	3.213831996812e+01	-1.044387892962e+01
-2.600000000000e-07	-4.436640874375e+01	3.073781077414e+01	-1.000069563686e+01
-2.580000000000e-07	-4.332570957288e+01	2.941114088757e+01	-9.580345228721e+00
-2.560000000000e-07	-4.230003779616e+01	2.815406823187e+01	-9.181548150928e+00
-2.540000000000e-07	-4.129081987001e+01	2.696257983479e+01	-8.803092471359e+00
-2.520000000000e-07	-4.029919167131e+01	2.583290369549e+01	-8.443837793661e+00
-2.500000000000e-07	-3.932599116687e+01	2.476143822749e+01	-8.102692977785e+00
-2.480000000000e-07	-3.837188176295e+01	2.374484007386e+01	-7.778644274221e+00
-2.460000000000e-07	-3.743732578851e+01	2.277994994263e+01	-7.470732034844e+00
-2.440000000000e-07	-3.652264422047e+01	2.186381144111e+01	-7.178056916599e+00
