# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	-0.0015320744	0.88491535	1.3508135e-11	0.015035455	0.0037902414	-0.0015338771	0
0	-0.0103909625	0.8849139	-3.3770337e-11	0.016039288	0.0042587295	-0.0017148405	1e-08
0	-0.0015321579	0.8849153	-8.442584e-12	0.017141826	0.004807659	-0.0019253183	2e-08
0	-0.010390884	0.884914	3.0393302e-11	0.01836641	0.005445645	-0.002171428	3e-08
0	-0.010390963	0.8849139	1.3508135e-10	0.019720899	0.006197685	-0.002460721	4e-08
0	-0.010390882	0.8849139	1.3170431e-10	0.021224972	0.0070865955	-0.0028027105	5e-08
0	-0.0015321614	0.88491535	4.7278473e-11	0.022895157	0.00814491	-0.003209328	6e-08
0	-0.010390962	0.8849139	2.701627e-11	0.024759958	0.009406758	-0.0036957958	7e-08
0	-0.0015320762	0.88491535	3.7147372e-11	0.026831085	0.01092811	-0.004281277	8e-08
0	-0.0015320781	0.88491535	3.7147372e-11	0.029138299	0.012767216	-0.004990476	9e-08
0	-0.0015321599	0.88491535	5.403254e-11	0.031698816	0.015006141	-0.0058549196	1e-07
0	-0.0015320784	0.88491535	6.7540674e-12	0.034526244	0.017747728	-0.006915123	1.1e-07
0	-0.010390926	0.8849139	1.1313063e-10	0.037623484	0.021121884	-0.008223101	1.2e-07
0	-0.010390974	0.8849139	-4.7278473e-11	0.04095986	0.025298024	-0.009845032	1.3e-07
0	-0.0015321609	0.88491535	2.0262202e-11	0.04446276	0.030484868	-0.011864249	1.4e-07
0	-0.0015321374	0.88491535	6.247512e-11	0.04797994	0.03693487	-0.014382559	1.5e-07
0	-0.01039089	0.884914	1.4521245e-10	0.05120179	0.04493998	-0.017514952	1.6e-07
0	-0.001532158	0.88491535	9.962249e-11	0.053544246	0.0547854	-0.021366982	1.7e-07
0	-0.010390961	0.8849139	5.403254e-11	0.053974967	0.06655409	-0.025955345	1.8e-07
0	-0.01039096	0.8849139	1.0806508e-10	0.050814353	0.07951492	-0.030962147	1.9e-07
0	-0.0015321613	0.8849153	-3.0393302e-11	0.042932417	0.09083831	-0.035358526	2e-07
0	-0.010390962	0.8849139	5.403254e-11	0.032680463	0.097598076	-0.038146406	2.1e-07
0	-0.001532079	0.88491523	8.104881e-11	0.022998122	0.10033549	-0.039464436	2.2e-07
0	-0.01039088	0.884914	5.403254e-11	0.014844278	0.10061009	-0.03985252	2.3e-07
0	-0.01039088	0.88491404	4.7278473e-11	0.008188682	0.099550515	-0.03972585	2.4e-07
