# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	0.005960294	0.8793068	0.00012059281	0.011991997	0.008037108	-0.0014452067	0
0	0.0037625888	0.8793771	0.000120603094	0.012306011	0.00870283	-0.0015525421	1e-08
0	0.005960967	0.879406	0.00012060643	0.012944804	0.009287761	-0.0017013362	2e-08
0	0.00376259	0.8793771	0.00012060298	0.01337039	0.010092269	-0.0018518803	3e-08
0	0.0125867585	0.8793767	0.00012060502	0.0141471205	0.010916849	-0.0020569758	4e-08
0	0.012585971	0.8793271	0.00012059835	0.014755825	0.011728725	-0.0022616205	5e-08
0	0.014784912	0.87933177	0.00012059843	0.015732132	0.012745948	-0.0025464806	6e-08
0	0.014785341	0.87935656	0.000120601806	0.016183008	0.013788581	-0.0027773755	7e-08
0	0.0037624857	0.8793523	0.00012059957	0.01679812	0.014947671	-0.003064648	8e-08
0	0.014784506	0.87930703	0.00012059499	0.017431168	0.016480854	-0.0034090804	9e-08
0	0.012586325	0.8793519	0.00012060168	0.01842656	0.018203149	-0.0038877556	1e-07
0	0.012586325	0.8793519	0.0001206017	0.019565294	0.020090146	-0.0044936356	1.1e-07
0	0.012585969	0.8793271	0.00012059835	0.019858701	0.0218607	-0.004903023	1.2e-07
0	0.0037624603	0.8793276	0.000120596276	0.020425288	0.023967532	-0.005533219	1.3e-07
0	0.012586404	0.8793519	0.00012060168	0.020845344	0.026567243	-0.0062719877	1.4e-07
0	0.01258668	0.8793767	0.00012060512	0.021362452	0.029098457	-0.0070883282	1.5e-07
0	0.012586325	0.87935185	0.00012060167	0.020995712	0.03230618	-0.007861198	1.6e-07
0	0.014784924	0.87933177	0.00012059843	0.02235816	0.03721619	-0.009745452	1.7e-07
0	0.0037622754	0.8793027	0.00012059281	0.020416494	0.038981043	-0.010187713	1.8e-07
0	0.012585614	0.8793023	0.000120594945	0.021185448	0.045639593	-0.013426955	1.9e-07
0	0.014784014	0.87928224	0.00012059163	0.01800205	0.047558177	-0.013855511	2e-07
0	0.0059599224	0.8792572	0.000120586046	0.015096559	0.05093306	-0.014846391	2.1e-07
0	0.0037622696	0.87930274	0.00012059282	0.012520049	0.05306173	-0.016758204	2.2e-07
0	0.012585341	0.8792775	0.00012059147	0.0091862995	0.056373682	-0.018457245	2.3e-07
0	0.0037621644	0.8792779	0.00012058945	0.005947899	0.06074516	-0.020794142	2.4e-07
0	0.012585617	0.8793023	0.00012059492	0.0033329932	0.057254583	-0.020521095	2.5e-07
0	0.012585616	0.8793023	0.00012059486	0.0007452731	0.058677547	-0.021787625	2.6e-07
0	0.005960214	0.8793068	0.00012059288	-0.00222045	0.059084404	-0.021654781	2.7e-07
0	0.014784092	0.8792822	0.00012059159	-0.005746342	0.06177094	-0.026466656	2.8e-07
0	0.0037620573	0.8792531	0.000120586075	-0.0077977534	0.059640408	-0.025754914	2.9e-07
0	0.0037620608	0.8792531	0.000120585995	-0.013623559	0.06240399	-0.02702601	3e-07
0	0.0059399726	0.8792918	0.00012511783	-0.014408334	0.05407563	-0.030493133	3.1e-07
0	0.005948552	0.87924683	0.000100309306	-0.014876077	0.05404413	-0.027797202	3.2e-07
0	0.014801641	0.8792248	9.715324e-05	-0.018800791	0.051981658	-0.025790118	3.3e-07
0	0.0124684125	0.87924266	0.00012262879	-0.022951446	0.04556464	-0.02405502	3.4e-07
0	0.0038926287	0.8791744	7.752234e-05	-0.024728317	0.037008386	-0.021682197	3.5e-07
0	0.014943265	0.8791726	5.910207e-05	-0.024824426	0.03088678	-0.017926121	3.6e-07
0	0.01494276	0.8791478	5.910043e-05	-0.020530421	0.026070548	-0.0152786765	3.7e-07
0	0.0061202953	0.8791724	5.9100108e-05	-0.015065408	0.025397334	-0.011908304	3.8e-07
0	0.003922661	0.8791683	5.910002e-05	-0.0128870085	0.02430146	-0.010442244	3.9e-07
0	0.003922656	0.8791683	5.91e-05	-0.011431026	0.023102183	-0.009470973	4e-07
0	0.0061201043	0.8791475	5.9098507e-05	-0.009915005	0.02223703	-0.008603251	4.1e-07
0	0.0149431825	0.87917256	5.910195e-05	-0.0077968813	0.022338368	-0.007889175	4.2e-07
0	0.012744677	0.87916785	5.9102098e-05	-0.0068711266	0.021582395	-0.007454161	4.3e-07
0	0.01494234	0.8791231	5.9098762e-05	-0.0053684637	0.021913001	-0.0069604083	4.4e-07
0	0.0061201225	0.8791475	5.9098573e-05	-0.0044158637	0.021708207	-0.0066237315	4.5e-07
0	0.0061202943	0.8791724	5.910007e-05	-0.0034098392	0.022024853	-0.0064431014	4.6e-07
0	0.0061201067	0.8791476	5.9098467e-05	-0.0026204803	0.021537842	-0.006193183	4.7e-07
0	0.0039226627	0.8791683	5.9099973e-05	-0.0016966423	0.021650938	-0.006061452	4.8e-07
0	0.01274468	0.87916785	5.910199e-05	-0.0009953704	0.02231824	-0.0060109934	4.9e-07
0	0.012744678	0.87916785	5.9102123e-05	-0.00015964634	0.02217989	-0.0059323474	5e-07
0	0.01274468	0.8791679	5.910209e-05	0.00039881218	0.022717483	-0.005883097	5.1e-07
0	0.0039225793	0.87916833	5.909995e-05	0.0011722001	0.022875434	-0.0058789714	5.2e-07
0	0.003922469	0.8791435	5.9098245e-05	0.001993973	0.023145303	-0.0058292146	5.3e-07
0	0.003922581	0.8791683	5.909992e-05	0.003004025	0.023505652	-0.0058825808	5.4e-07
0	0.0127443215	0.8791431	5.910033e-05	0.0038300252	0.02413799	-0.006003746	5.5e-07
0	0.0039223577	0.8791187	5.9096557e-05	0.0042170053	0.024947705	-0.0060901144	5.6e-07
0	0.014943181	0.87917256	5.9101963e-05	0.0048725544	0.025672754	-0.0062220846	5.7e-07
0	0.0061202943	0.8791724	5.910016e-05	0.0058081513	0.026593182	-0.006359397	5.8e-07
0	0.0039224825	0.8791435	5.9098325e-05	0.006547265	0.02755197	-0.0066031334	5.9e-07
0	0.003922577	0.87916833	5.9099944e-05	0.007859374	0.029015578	-0.006921672	6e-07
0	0.012744679	0.87916785	5.9102003e-05	0.009112539	0.03065398	-0.00744182	6.1e-07
0	0.014943212	0.8791726	5.910199e-05	0.009001627	0.032023605	-0.007700017	6.2e-07
0	0.0039225505	0.87914354	5.9098333e-05	0.010048941	0.034070276	-0.008414307	6.3e-07
0	0.0061202934	0.87917244	5.910006e-05	0.010405894	0.036411036	-0.008948704	6.4e-07
0	0.0061202142	0.8791724	5.9100024e-05	0.011084637	0.03965571	-0.009784129	6.5e-07
0	0.01494369	0.87919736	5.9103655e-05	0.010408216	0.04137717	-0.010614643	6.6e-07
0	0.0039225523	0.87914354	5.909834e-05	0.01099263	0.046539444	-0.012249885	6.7e-07
0	0.012744335	0.87914306	5.9100268e-05	0.009877966	0.050520465	-0.0142202405	6.8e-07
0	0.0149432635	0.8791726	5.910203e-05	0.0066748997	0.049977887	-0.014065507	6.9e-07
0	0.012744346	0.87914306	5.9100323e-05	0.004844582	0.05238624	-0.015048132	7e-07
0	0.0039224704	0.8791435	5.9098304e-05	0.002897606	0.054763712	-0.015296477	7.1e-07
0	0.003922659	0.87916833	5.9100046e-05	0.0006638036	0.057970993	-0.018241314	7.2e-07
0	0.0039227717	0.8791931	5.9101734e-05	-0.0011830875	0.05565477	-0.017096441	7.3e-07
0	0.014943617	0.8791974	5.9103655e-05	-0.0039724363	0.0592297	-0.018591082	7.4e-07
0	0.006100974	0.8792068	6.798169e-05	-0.004127702	0.05490335	-0.018367035	7.5e-07
0	0.014912657	0.87919307	7.2289746e-05	-0.0059123714	0.055666283	-0.017043114	7.6e-07
0	0.0038614105	0.87920517	7.396453e-05	-0.0071572713	0.054913595	-0.017631948	7.7e-07
0	0.0038215572	0.8792626	9.2998926e-05	-0.008031535	0.054910824	-0.016935898	7.8e-07
0	0.014777572	0.8792681	9.851353e-05	-0.006792682	0.05301703	-0.015869036	7.9e-07
0	0.014722646	0.8793381	0.000105788145	-0.009546176	0.056311943	-0.015459173	8e-07
0	0.0036158517	0.87943226	0.000121282756	-0.00887847	0.05194047	-0.014735637	8.1e-07
0	0.012349031	0.8795174	0.00014829027	-0.009595332	0.05153721	-0.012230961	8.2e-07
0	0.014455514	0.8796152	0.00014554911	-0.009357882	0.05137074	-0.010759741	8.3e-07
0	0.012132811	0.87974197	0.0001449167	-0.010391172	0.05207556	-0.010504178	8.4e-07
0	-0.00017181836	0.8786034	5.3660486e-05	-0.012037427	0.045240216	-0.025974477	8.5e-07
0	0.011037598	0.87872	4.988227e-05	-0.011408275	0.04472697	-0.023207555	8.6e-07
0	0.009029862	0.87886006	2.9858467e-05	-0.012706521	0.045562163	-0.026470438	8.7e-07
0	0.002527078	0.879017	3.3841985e-05	-0.012871681	0.044280484	-0.023513742	8.8e-07
0	0.00043852004	0.87924457	3.1465646e-05	-0.014969269	0.04425204	-0.0242218	8.9e-07
0	0.00051431946	0.8795138	3.9995524e-05	-0.014638153	0.042987023	-0.02337559	9e-07
0	0.0028238513	0.8798068	4.9448954e-05	-0.015846366	0.045090344	-0.024468716	9.1e-07
0	0.0006092437	0.88131243	0.00028308353	-0.014028839	0.04058031	-0.020054882	9.2e-07
0	0.011753608	0.8813308	0.00031991454	-0.013156446	0.040706523	-0.017519556	9.3e-07
0	0.000816318	0.8812955	0.00034638093	-0.014962203	0.042064823	-0.017135689	9.4e-07
0	0.0009170744	0.8812766	0.00036418068	-0.014426962	0.04150563	-0.018686712	9.5e-07
0	0.0032507114	0.88130265	0.00038183984	-0.016131323	0.04242534	-0.018886494	9.6e-07
0	0.0033586326	0.8812634	0.00043219916	-0.018822566	0.042937092	-0.01868141	9.7e-07
0	0.012218792	0.88130176	0.00036476567	-0.022882592	0.040933643	-0.019749735	9.8e-07
