# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	0.0021143847	-0.11901929	-8.752661e-06	0.0067701368	0.0062685944	-0.0012460776	0
0	0.0058160373	-0.119350746	6.833672e-05	0.006847255	0.006737505	-0.0012881642	1e-08
0	-0.008871621	-0.119358934	6.839514e-05	0.007335344	0.007294465	-0.0014254535	2e-08
0	0.008581759	-0.11665268	0.00015321195	0.007905509	0.0082472	-0.0015967692	3e-08
0	0.0058161495	-0.11935062	6.83853e-05	0.008173444	0.008803231	-0.001748924	4e-08
0	0.013012828	-0.11665263	0.00015319748	0.008945817	0.009818573	-0.0019795236	5e-08
0	0.0013841782	-0.11933745	6.83536e-05	0.009362715	0.010557353	-0.0022031565	6e-08
0	0.013016742	-0.11670099	6.6786175e-05	0.010374451	0.012889215	-0.0027232699	8e-08
0	0.0058156596	-0.11934051	6.8380024e-05	0.010357777	0.013996794	-0.0029820353	9e-08
0	0.005815986	-0.119347245	6.838339e-05	0.011026004	0.01564442	-0.0034207078	1e-07
0	-0.004437158	-0.11935639	0.00010733526	0.011824557	0.01745892	-0.0040198127	1.1e-07
0	0.0013866796	-0.11933495	0.00010728384	0.011806457	0.01905612	-0.0043774876	1.2e-07
0	-0.0016739783	-0.11666072	0.0001532177	0.012393797	0.023733143	-0.0056226216	1.4e-07
0	0.013013563	-0.116659194	0.00015320697	0.012477497	0.026081415	-0.006344748	1.5e-07
0	0.013013194	-0.1166559	0.00015320154	0.0115530165	0.028812278	-0.006969411	1.6e-07
0	-0.004377346	-0.1193593	0.00010582388	0.011650797	0.03292353	-0.0086040385	1.7e-07
0	0.013012461	-0.11664934	0.00015319385	0.009868465	0.034547288	-0.00891669	1.8e-07
0	-0.0016703369	-0.11669919	6.68082e-05	0.009521296	0.040594645	-0.011719515	1.9e-07
0	-0.0016702889	-0.1166959	6.6807595e-05	0.006051778	0.041442543	-0.0118297385	2e-07
0	-0.0016737875	-0.11664755	0.00015320303	0.00267987	0.04345716	-0.012387648	2.1e-07
0	0.013012095	-0.11664604	0.00015318913	-0.003697015	0.045934014	-0.014559339	2.3e-07
0	0.0058177956	-0.11933487	0.000107339314	-0.007482202	0.04739997	-0.01579142	2.4e-07
