# t (s)	mx ()	my ()	mz ()	B_demag.region4x (T)	B_demag.region4y (T)	B_demag.region4z (T)	Counter (No unit)
0	0.29244545	0.8201343	-0.00060139125	0.04724616	0.070840664	-0.03023731	0
0	0.29244545	0.8201343	-0.0006013912	0.043526866	0.07992647	-0.034672625	1e-08
0	0.29244545	0.8201343	-0.00060139113	0.03808721	0.08776022	-0.039012913	2e-08
0	0.29244548	0.8201343	-0.00060139113	0.031850893	0.09434985	-0.043304782	3e-08
0	0.29244545	0.8201343	-0.0006013912	0.023057466	0.099418856	-0.04725422	4e-08
0	0.29244545	0.8201343	-0.0006013912	0.01438149	0.10010887	-0.049968656	5e-08
0	0.29244545	0.8201343	-0.0006013912	0.008047898	0.09917478	-0.052277878	6e-08
0	0.29244545	0.8201343	-0.0006013912	0.0013375022	0.098031476	-0.054364465	7e-08
0	0.29244545	0.8201343	-0.00060139125	-0.004223645	0.09449093	-0.055134967	8e-08
0	0.29244545	0.8201343	-0.0006013912	-0.0075502843	0.090806104	-0.05518024	9e-08
0	0.29244545	0.8201343	-0.00060139125	-0.011444647	0.0885473	-0.05396416	1e-07
0	0.29244545	0.8201343	-0.00060139113	-0.016091738	0.08554518	-0.050678257	1.1e-07
0	0.29244545	0.8201343	-0.0006013912	-0.02166417	0.08231171	-0.04525042	1.2e-07
0	0.29244545	0.8201343	-0.00060139125	-0.032043036	0.07798487	-0.037334654	1.3e-07
0	0.29244545	0.8201343	-0.0006013912	-0.044972707	0.06887269	-0.03286454	1.4e-07
0	0.29244545	0.8201343	-0.0006013912	-0.04868747	0.052035905	-0.025089107	1.5e-07
0	0.29244545	0.8201342	-0.0006013912	-0.044337764	0.040462136	-0.019059118	1.6e-07
0	0.29244545	0.8201343	-0.0006013912	-0.0390901	0.03219307	-0.015060418	1.7e-07
0	0.29244545	0.8201343	-0.0006013912	-0.033765756	0.026183642	-0.0122494185	1.8e-07
0	0.29244545	0.8201343	-0.00060139125	-0.028782297	0.021727184	-0.010200911	1.9e-07
0	0.29244545	0.8201343	-0.0006013912	-0.024234407	0.018360674	-0.008670678	2e-07
0	0.29244545	0.8201342	-0.0006013912	-0.020113055	0.015789824	-0.007511218	2.1e-07
0	0.29244545	0.8201343	-0.0006013912	-0.016375532	0.013819803	-0.006628089	2.2e-07
0	0.29244545	0.8201343	-0.0006013912	-0.012969162	0.012315649	-0.0059576062	2.3e-07
0	0.29244545	0.82013434	-0.0006013912	-0.009840784	0.011181077	-0.0054553435	2.4e-07
0	0.29244545	0.8201343	-0.0006013912	-0.006939945	0.010346621	-0.0050898655	2.5e-07
